mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3302303314208984,0.09315201994070847,0.015297365188598634,0.006346602344867903,,1000,"{'classifier__max_depth': None, 'tfidf__max_features': 1000}",0.8419301164725458,0.8369384359400999,0.8544093178036606,0.8502495840266223,0.8709408825978351,0.8508936673681526,0.011745290193685145,4,0.9521531100478469,0.9525691699604744,0.9494487206157687,0.9521531100478469,0.9486272878535774,0.9509902797051029,0.0016221823674793048
0.43805317878723143,0.1541079152978956,0.012753534317016601,0.0029606871505804067,,2000,"{'classifier__max_depth': None, 'tfidf__max_features': 2000}",0.848585690515807,0.8336106489184693,0.8569051580698835,0.8435940099833611,0.8626144879267277,0.8490619990828497,0.010139576848219959,7,0.9567297690867484,0.9567297690867484,0.9536093197420429,0.9567297690867484,0.9527870216306157,0.9553171297265808,0.0017495549037535366
0.30429372787475584,0.0073610169785545704,0.009645843505859375,0.0004645574261095208,,3000,"{'classifier__max_depth': None, 'tfidf__max_features': 3000}",0.846089850249584,0.8369384359400999,0.8585690515806988,0.8394342762063228,0.8659450457951707,0.8493953319543752,0.011165780395669619,5,0.9569377990430622,0.957145828999376,0.954233409610984,0.9567297690867484,0.9532029950083195,0.9556499603496981,0.0016159451601514515
0.044119977951049806,0.001230908714755427,0.009423494338989258,0.00047527340539847403,5,1000,"{'classifier__max_depth': 5, 'tfidf__max_features': 1000}",0.8535773710482529,0.8419301164725458,0.8527454242928453,0.8402662229617305,0.8576186511240633,0.8492275571798876,0.0068595171716458025,6,0.851258581235698,0.8554191803619722,0.8518826711046391,0.8550031204493447,0.8514975041597338,0.8530122114622776,0.0018112225971629598
0.04770355224609375,0.0004901214611150044,0.009437274932861329,0.0004124142059792182,5,2000,"{'classifier__max_depth': 5, 'tfidf__max_features': 2000}",0.8535773710482529,0.8410981697171381,0.85108153078203,0.8386023294509152,0.8559533721898418,0.8480625546376356,0.006925185001857409,9,0.8514666111920116,0.8558352402745996,0.8520907010609527,0.8552111504056584,0.8517054908485857,0.8532618387563616,0.0018675564569566134
0.05083808898925781,0.0016696050001184085,0.01052107810974121,0.00020689818682205453,5,3000,"{'classifier__max_depth': 5, 'tfidf__max_features': 3000}",0.8527454242928453,0.8419301164725458,0.8519134775374376,0.8402662229617305,0.855120732722731,0.848395194797458,0.006073106146586981,8,0.8514666111920116,0.8558352402745996,0.8520907010609527,0.8552111504056584,0.8514975041597338,0.8532202414185912,0.0019037248575292168
0.05096778869628906,0.002023745692614967,0.00879216194152832,0.0004872668474808551,10,1000,"{'classifier__max_depth': 10, 'tfidf__max_features': 1000}",0.8569051580698835,0.8444259567387687,0.8544093178036606,0.8585690515806988,0.8609492089925063,0.8550517386371036,0.005725500083103038,3,0.8718535469107551,0.879134595381735,0.8697732473476181,0.8731017266486374,0.8733361064891847,0.8734398445555861,0.0031149814632135085
0.056641006469726564,0.002446359017692716,0.008860158920288085,0.000765797082387547,10,2000,"{'classifier__max_depth': 10, 'tfidf__max_features': 2000}",0.8602329450915142,0.8477537437603994,0.8535773710482529,0.8610648918469218,0.858451290591174,0.8562160484676525,0.004964197164422211,1,0.87268566673601,0.8778864156438527,0.8697732473476181,0.8720615768670689,0.8714642262895175,0.8727742265768134,0.002733940986858922
0.05819387435913086,0.0030158474301798495,0.00901026725769043,0.0005626462148290552,10,3000,"{'classifier__max_depth': 10, 'tfidf__max_features': 3000}",0.8594009983361065,0.8452579034941764,0.8544093178036606,0.8594009983361065,0.8576186511240633,0.8552175738188227,0.005303122935988754,2,0.8724776367796963,0.8778864156438527,0.8695652173913043,0.87268566673601,0.872504159733777,0.8730238192569282,0.00269404821533946
