mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07211556434631347,0.01775903075702407,0.14109282493591307,0.08889181903398458,3,1,1000,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'tfidf__max_features': 1000}",0.8169717138103162,0.8153078202995009,0.8178036605657238,0.8161397670549085,0.8193172356369692,0.8171080394734836,0.001382849350443886,15,0.8242146869149157,0.8246307468275431,0.8250468067401706,0.838360723944248,0.824667221297837,0.8273840371449429,0.005494666065459795
0.06680574417114257,0.007527556847008556,0.08259758949279786,0.014214105370296238,3,1,2000,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'tfidf__max_features': 2000}",0.8227953410981698,0.8202995008319468,0.8169717138103162,0.8111480865224625,0.8159866777685262,0.8174402640062842,0.003969282948088145,13,0.8235905970459746,0.8225504472644061,0.8389848138131891,0.8246307468275431,0.8383943427620633,0.8296301895426353,0.0074285023067937345
0.051572418212890624,0.002614609220949815,0.06796541213989257,0.003460300729611845,3,1,3000,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'tfidf__max_features': 3000}",0.7870216306156406,0.8103161397670549,0.8036605657237936,0.7903494176372712,0.8101582014987511,0.8003011910485023,0.009840017991640596,18,0.8100686498855835,0.8179737882255045,0.8185978780944456,0.8296234657790722,0.8217554076539102,0.8196038379277033,0.006318402057213654
0.04358663558959961,0.00656985617701161,0.10751109123229981,0.008589138421974491,3,2,1000,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'tfidf__max_features': 1000}",0.8244592346089851,0.829450915141431,0.8386023294509152,0.8410981697171381,0.8434637801831807,0.8354148858203301,0.007250371755125623,8,0.8672768878718535,0.8681090076971084,0.8614520490950697,0.9153318077803204,0.8618968386023295,0.8748133182093364,0.020439435004775096
0.034681272506713864,0.005306841139978889,0.09169960021972656,0.006497077211703733,3,2,2000,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'tfidf__max_features': 2000}",0.8311148086522463,0.8277870216306157,0.8261231281198004,0.831946755407654,0.8492922564529559,0.8332527940526544,0.008297564426853185,9,0.8602038693571874,0.8564593301435407,0.9211566465571043,0.8589556896193051,0.9220049916805324,0.8837561054715339,0.030908445983124738
0.033124256134033206,0.0043399211879915425,0.08789324760437012,0.00926698968304537,3,2,3000,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'tfidf__max_features': 3000}",0.848585690515807,0.8336106489184693,0.8369384359400999,0.8435940099833611,0.8692756036636137,0.8464008778042702,0.012562107766395296,3,0.8961930517994591,0.9038901601830663,0.8968171416684002,0.9001456209694196,0.8957986688851913,0.8985689287011074,0.003072111693964689
0.03038163185119629,0.0016605733876502188,0.0,0.0,3,3,1000,"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'tfidf__max_features': 1000}",,,,,,,,19,,,,,,,
0.02862124443054199,0.0012413085349439275,0.0,0.0,3,3,2000,"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'tfidf__max_features': 2000}",,,,,,,,19,,,,,,,
0.035371828079223636,0.004728514152496073,0.0,0.0,3,3,3000,"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'tfidf__max_features': 3000}",,,,,,,,19,,,,,,,
0.047237205505371097,0.008923650699796441,0.061155271530151364,0.003835260624244161,5,1,1000,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'tfidf__max_features': 1000}",0.8144758735440932,0.8053244592346089,0.8252911813643927,0.8211314475873545,0.8209825145711906,0.8174410952603279,0.006976956518143908,12,0.8200540877886415,0.8283752860411899,0.823382567089661,0.8310796754732681,0.8277870216306157,0.8261357276046752,0.003917939513352267
0.047996139526367186,0.003152139287657068,0.06327061653137207,0.004814217923713025,5,1,2000,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'tfidf__max_features': 2000}",0.8202995008319468,0.8119800332778702,0.8261231281198004,0.8144758735440932,0.8218151540383014,0.8189387379624025,0.005100620289048752,11,0.819013938007073,0.826919076346994,0.8246307468275431,0.8246307468275431,0.8250831946755408,0.8240555405369389,0.0026583976747922866
0.051274442672729494,0.0034997156316478395,0.06178679466247559,0.003310762238455674,5,1,3000,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'tfidf__max_features': 3000}",0.7953410981697171,0.7970049916805324,0.8219633943427621,0.7995008319467554,0.8168193172356369,0.8061259266750808,0.011032405404349594,17,0.8067401705845642,0.8177657582691907,0.8188059080507593,0.8256708966091117,0.8186356073211315,0.8175236681669515,0.0060926235205849815
0.03524284362792969,0.006731935237926546,0.11066436767578125,0.013621421970198121,5,2,1000,"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'tfidf__max_features': 1000}",0.8452579034941764,0.8261231281198004,0.8535773710482529,0.8452579034941764,0.8476269775187344,0.8435686567350281,0.009237942494717419,4,0.8629082587892657,0.8620761389640108,0.8556272103182858,0.8587476596629915,0.8583610648918469,0.8595440665252803,0.002649705633662568
